answer,qid
in his lair by a Mouse running over his face,fables-06-1
The Mouse  terrified ,fables-06-2
The idea of so insignificant a creature anything him the Lion he it,fables-06-3
in a net which had been spread for game by some hunters of anger to the spot,fables-06-4
day the,fables-06-5
There once was a lion ,fables-06-6
the Lion the Mouse,fables-06-7
day the,fables-06-8
more ado it the ropes its teeth the Lion,fables-06-9
a lion asleep in his lair a mouse running over his face,fables-06-10
one day the lion got entangled in a net which had been spread for game by some hunters  and the mouse heard and recognised his roars of anger and ran to the spot ,fables-06-11
The lion,fables-06-12
a lion asleep in his lair a mouse running over his face,fables-06-13
one day the lion a net which had been spread for game by some hunters the mouse his anger the spot,fables-06-14
the ropes with its teeth in setting the lion free,fables-06-15
a lion asleep in his lair,fables-06-16
it,fables-06-17
the idea of so insignificant a creature ever being able to do anything for him amused the lion so much that he laughed aloud  and good-humouredly let it go ,fables-06-18
the lion the mouse,fables-06-19
one day the lion a net which had been spread for game by some hunters the mouse his anger the spot,fables-06-20
his temper he it his paw it,fables-06-21
it with his paw it,fables-06-22
more ado it the ropes its teeth the lion,fables-06-23
the ropes with its teeth in setting the lion free,fables-06-24
it i,fables-06-25
the mouse you me i i you you a mouse a lion,fables-06-26
the idea of so insignificant a creature anything him the lion he it,fables-06-27
a lion asleep in his lair was waked up by a mouse running over his face ,fables-06-28
in his lair by a mouse running over his face,fables-06-29
in his lair by a mouse running over his face,fables-06-30
in Louisiana,blogs-03-1
in on Monday September 1 in the morning,blogs-03-2
Winds,blogs-03-3
president bush,blogs-03-4
to me in all of last weekend on the Weather Channel and local news,blogs-03-5
to Home Depot just in the nick of time,blogs-03-6
We our area winds of about 50mph,blogs-03-7
I started to get nervous at that point because I have numerous trees near my home and I was concerned that if those fell  it would cause serious damage to my home and perhaps to my family ,blogs-03-8
after the storm to their house at my house,blogs-03-9
i i,blogs-03-10
i,blogs-03-11
i that point i numerous trees near my home i those it serious damage my home my family,blogs-03-12
i,blogs-03-13
the first tree on the house of the narrator,blogs-03-14
my wife  our five children  and our dog ,blogs-03-15
i that point i numerous trees near my home i those it serious damage my home my family,blogs-03-16
louisiana hurricane gustav,blogs-03-17
i,blogs-03-18
to me in all of last weekend on the weather channel and local news,blogs-03-19
i i,blogs-03-20
here what happened to me and my family we the storm moving in all of last weekend on the weather channel and local news,blogs-03-21
the storm monday september 1 the morning,blogs-03-22
the first tree on the house of the narrator,blogs-03-23
on the house of the narrator of the narrator of the narrator,blogs-03-24
my back patio i a large tree split two my neighbor 's yard,blogs-03-25
i,blogs-03-26
here we,blogs-03-27
louisiana hurricane gustav,blogs-03-28
i i,blogs-03-29
i i,blogs-03-30
12:30 pm i my back patio i a large tree split two my neighbor 's yard,blogs-03-31
president bush,blogs-03-32
The oven it 350 degrees broiler stuck ,blogs-06-1
The oven it 350 degrees broiler stuck ,blogs-06-2
the door,blogs-06-3
The husband of the narrator the door of the oven,blogs-06-4
a couple,blogs-06-5
The oven it 350 degrees broiler stuck ,blogs-06-6
my husband a batch of cookies them flames,blogs-06-7
The oven it 350 degrees broiler stuck ,blogs-06-8
then we a plug-in burner  griddle  and counter top oven,blogs-06-9
the oven malfunctioned  it was supposed to be baking at 350 degrees but somehow broiler came on and got stuck ,blogs-06-10
of weeks in our old oven/range,blogs-06-11
he the oven door and the flames all the way the ceiling ,blogs-06-12
my new range i a few days,blogs-06-13
my new range i a few days,blogs-06-14
my husband a batch of cookies them flames,blogs-06-15
he the fire the door the fire spreading,blogs-06-16
he,blogs-06-17
the oven it 350 degrees broiler stuck ,blogs-06-18
a few days,blogs-06-19
nothing the range it days of airing the house out cleaning before things 100 %,blogs-06-20
he the fire the door the fire spreading,blogs-06-21
my husband a batch of cookies them flames,blogs-06-22
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-1
A Crow a branch of a tree with a piece of cheese in her beak a Fox her his wits some way of getting the cheese,fables-01-2
A Crow,fables-01-3
was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-4
under the tree above me,fables-01-5
the tree he What a noble bird I see above me,fables-01-6
the fox,fables-01-7
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-8
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-9
a crow,fables-01-10
a crow,fables-01-11
the tree he what a noble bird i see above me,fables-01-12
the crow flattered this the fox she she a loud caw,fables-01-13
a crow,fables-01-14
a crow,fables-01-15
a crow,fables-01-16
a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-17
a crow,fables-01-18
her beauty the hue of her plumage,fables-01-19
her beauty the hue of her plumage,fables-01-20
the tree he what a noble bird i see above me,fables-01-21
the tree he what a noble bird i see above me,fables-01-22
a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-23
a lion,fables-02-1
the bull,fables-02-2
in the world,fables-02-3
those ugly horns,fables-02-4
a lion,fables-02-5
What a fine head ,fables-02-6
my dear friend  what in the world makes you,fables-02-7
the bull,fables-02-8
What a fine head ,fables-02-9
